Index,Height(cm),Weight(kg)
1,167.0896074,51.252494060000004
2,181.6486334,61.9095473816
3,176.2727996,69.41177762480001
4,173.270164,64.5621987568
5,172.18103739999998,65.4520101832
6,174.4925136,55.9289822208
7,177.29718160000002,64.1808639624
8,177.83738879999999,61.8982075816
9,172.47273099999998,50.971176301599996
10,169.6271944,54.733676582399994
11,168.8787326,57.811026147199996
12,171.7632582,51.774351656
13,173.4882992,56.976008634399996
14,170.47606240000002,55.5476927856
15,173.4303618,52.6559530672
16,180.572664,63.50174602
17,168.81094,58.741207261599996
18,174.3691458,64.8515450936
19,180.9250382,62.55147078
20,170.5131972,56.265774280799995
21,172.29782659999998,64.0837952744
22,174.9521774,65.1082328064
23,161.242121,44.40752316072
24,173.79154979999998,58.7413886984
25,171.7752216,64.3420705592
26,170.7099456,58.8419500448
27,179.939569,64.602160212
28,171.43562359999999,59.67011831839999
29,168.99638539999998,49.1387099808
30,166.2200892,51.6605907824
31,176.58918200000002,46.856779347199996
32,167.165528,54.7728669312
33,172.253402,57.0567026512
34,179.311427,61.78943622
35,182.3842936,63.548919588
36,175.7835702,58.39938033040001
37,169.6813472,64.3190734448
38,171.8536822,54.9898199848
39,172.2298054,59.5783112976
40,162.675189,48.403482708
41,174.1795602,56.4086104016
42,165.56626780000002,56.6350888872
43,176.9316756,63.3536935912
44,172.6369674,62.3097516032
45,167.5914352,48.2848230408
46,174.4281246,58.4062749288
47,169.8774352,66.08096085039999
48,171.95464719999998,52.988163848
49,177.3457718,65.145563428
50,175.48395180000003,61.20430254
51,177.58356659999998,66.6879576648
52,171.02282279999997,57.301596972
53,178.4842506,56.918493168800005
54,175.52273760000003,52.484404572799995
55,166.0742424,56.0137132064
56,178.2685538,67.0829002192
57,178.8316718,70.7144031304
58,169.0211504,58.093432526399994
59,168.56501720000003,54.1453223992
60,171.54398,60.6973227616
61,168.9206172,58.39203213999999
62,175.2589332,62.3894477176
63,173.491017,58.858279356800004
64,170.21187700000002,58.433535808
65,179.8470368,61.378481867999994
66,173.2775554,49.7188087896
67,175.4102156,64.6225264928
68,172.0368162,60.213884408
69,170.7278272,46.95924578
70,171.1137802,56.5764848008
71,165.7866382,58.6556598104
72,179.94066120000002,60.78926586000001
73,177.6080268,63.68291066479999
74,163.28410319999998,46.6451786792
75,173.342808,58.2962788688
76,168.5469832,54.5667093672
77,173.641385,62.8694841312
78,166.311326,60.3084129808
79,177.0874538,52.4458038936
80,172.0228716,55.575906208
81,174.3441014,61.0650044368
82,169.631487,55.2922297712
83,177.93073379999998,70.4776281064
84,168.3473392,58.4869689456
85,175.77302920000002,58.5593168696
86,175.6024174,63.26397309359999
87,171.10547440000002,63.9066222392
88,178.0361438,59.6888970272
89,178.248564,54.940514534399995
90,173.2929224,59.6531086184
91,173.0484728,61.9370350568
92,178.4161024,64.1785506432
93,181.57830080000002,63.7797525568
94,175.7801158,50.8663965496
95,177.96017239999998,60.535027543999995
96,179.21485619999999,59.783470959199995
97,168.3675576,54.443967371999996
98,161.1014558,55.8359051424
99,169.5884594,58.1247303744
100,174.9740214,52.3789444328
101,164.78082360000002,46.308431978399994
102,170.4155088,59.127077976
103,173.60292940000002,60.8648796464
104,166.6512542,44.742918157359995
105,172.0989954,51.9634541608
106,172.773848,56.0148471864
107,171.8613022,55.813588416
108,168.439084,57.3690461024
109,176.37013240000002,58.248923864
110,162.1440496,57.6942262072
111,172.0158358,55.3637158704
112,177.92948919999998,57.881242188799995
113,178.2724908,59.711894141600006
114,167.5025352,50.754903636
115,177.81778000000003,55.355914088
116,174.27267659999998,58.3113834824
117,174.7727518,60.1822236864
118,177.19578479999998,61.717179014399996
119,166.25669059999998,52.5895925576
120,174.8163636,62.0986045272
121,167.13276199999999,54.3767903968
122,170.72543960000002,49.444022755999995
123,176.3273334,58.182472636
124,175.1176584,61.367051349600004
125,172.57141000000001,48.4689360336
126,166.68765240000002,55.9251266888
127,168.9000178,49.6748103656
128,172.5373486,54.1174718504
129,174.991141,63.611832798399995
130,178.41214,60.774115887200004
131,173.39622419999998,60.1375448744
132,180.9282894,59.283930089600005
133,175.50757380000002,52.4187698104
134,163.5682022,56.1520134072
135,180.583459,58.124503578399995
136,173.27544720000003,61.67245484319999
137,167.4297134,52.9012102616
138,171.289726,57.5263971672
139,187.70871780000002,68.6698825496
140,177.7529846,59.149394702399995
141,176.5772948,61.7823148256
142,165.5682998,51.4368338488
143,172.7420726,56.8480956904
144,173.579536,57.871353883199994
145,165.56779179999998,48.6052857888
146,173.38570860000002,52.8247800096
147,174.16437100000002,60.708843998400006
148,163.82174500000002,51.2060462392
149,174.5247462,59.3102384256
150,174.9843592,62.485518503200005
151,176.6318794,56.8820697312
152,171.19508560000003,62.8070245128
153,168.84703340000002,54.8022596928
154,167.6709118,63.5726878088
155,184.0086236,62.0240340024
156,162.8811068,48.1324161288
157,180.2920448,72.1012606704
158,171.4531496,49.3448221856
159,182.918481,62.9475926736
160,165.8910322,52.5774816512
161,170.3707286,66.3569715824
162,163.5543592,49.839101387999996
163,176.1998762,63.071922240800006
164,173.6831934,54.3857261592
165,165.8878572,58.1989833848
166,170.527726,57.7163161376
167,173.7224872,52.267678315199994
168,168.381172,56.60714762
169,170.653964,57.584003351199996
170,167.61856240000003,50.4716807912
171,176.3621822,55.614416168800005
172,172.65556020000002,56.3399365728
173,172.1137782,56.5381109176
174,165.8077456,54.2119097048
175,187.5374456,63.1845944936
176,169.7053248,47.548461788
177,169.9110394,55.8110483008
178,166.96862720000001,53.9285961416
179,167.5963882,55.1086610888
180,169.12325840000003,54.090301689600004
181,170.4668676,61.245760848799996
182,167.3220174,52.720090975999994
183,169.6229018,49.5200447752
184,174.5888558,56.346876530399996
185,168.2157164,64.031087884
186,167.53758720000002,58.581452159200005
187,174.2026488,58.0004915256
188,169.14741379999998,54.850340444800004
189,170.0929796,57.8994765872
190,172.923581,46.0256627256
191,178.28323500000002,65.7675287784
192,166.4245846,50.3270756616
193,171.345987,60.265367100000006
194,171.221019,66.377972892
195,176.9404132,66.0381871248
196,167.12689459999999,54.813463415200005
197,167.90817320000002,52.5174714296
198,173.3292698,58.1967154248
199,172.7810362,57.8201887056
200,181.3317176,58.0035759512
201,166.958264,55.1112919224
202,168.74129320000003,51.1265315616
203,177.83324860000002,61.235827184
204,176.48290839999999,58.3677196088
205,174.3142056,56.4296570704
206,173.641385,63.514673392000006
207,173.7113112,53.305678248
208,174.6862902,65.25995933040001
209,177.605944,64.0337187176
210,181.7507668,70.73377150879999
211,173.8570056,60.785546405599995
212,169.4535092,59.011185219999994
213,169.3776902,48.183490588
214,172.5599546,50.8244846488
215,175.002317,61.7739687328
216,170.9214514,59.527599712
217,176.7131848,59.567107575200005
218,171.8939666,54.2160827512
219,175.36553700000002,53.068676427999996
220,172.637831,62.834058596
221,167.23314280000002,49.7371792656
222,167.0631152,59.038128584800006
223,180.69829239999999,62.1926341488
224,172.28959700000001,51.600172328
225,165.276022,52.15060622
226,177.05692299999998,57.9304569208
227,177.6217682,55.3369539424
228,167.9338526,53.5060298344
229,174.2786456,57.9300940472
230,175.253904,53.5065741448
231,169.6509434,56.7694881968
232,172.7800202,64.00301053919999
233,176.9683532,65.9895620624
234,182.42732120000002,52.64615548
235,184.77677039999998,61.5732089136
236,170.88995540000002,60.2936258816
237,171.221781,52.4634486224
238,174.07001,51.8539116928
239,173.9170004,67.563435584
240,174.0374218,64.49524857760001
241,161.86223660000002,60.82850156800001
